"catalogNumber","recordedBy_primary","recordedBy_secondary","recordedBy_tertiary"
"SUWS017439","Hlina, Paul","",""
"SUWS017546","Hlina, Paul","",""
"SUWS017401","Anderson, Derek S.","",""
"SUWS017425","Stauff, Janelle","",""
"SUWS017548","Davidson, Donald W.","",""
"SUWS017447","Hlina, Matt","",""
"SUWS017444","Hlina, Paul","",""
"SUWS017445","Anderson, Derek S.","",""
"SUWS017400","Bergman, Nils","",""
"SUWS017452","Bergman, Nils","",""
"SUWS017551","Anderson, Derek S.","",""
"SUWS017507","Senti, Peter","",""
"SUWS017424","Anderson, Derek S.","",""
"SUWS017443","Hlina, Paul","",""
"SUWS017550","Davidson, Donald W.","",""
"SUWS017404","Anderson, Derek S.","",""
"SUWS017541","Bergman, Nils","",""
"SUWS017442","Crook, Trista","",""
"SUWS017438","Hlina, Paul","",""
"SUWS017554","Bergman, Nils","",""
"SUWS017409","Davidson, Donald W.","",""
"SUWS017540","Bergman, Nils","",""
"SUWS017400","Bergman, Nils","",""
"SUWS017401","Anderson, Derek S.","",""
"SUWS017403","Crook, Trista","",""
"SUWS017404","Anderson, Derek S.","",""
"SUWS017409","Davidson, Donald W.","",""
"SUWS017410","Anderson, Derek S.","",""
"SUWS017416","Bergman, Nils","",""
"SUWS017424","Anderson, Derek S.","",""
"SUWS017425","Stauff, Janelle","",""
"SUWS017430","Hlina, Paul","",""
"SUWS017431","Crook, Trista","",""
"SUWS017438","Hlina, Paul","",""
"SUWS017439","Hlina, Paul","",""
"SUWS017442","Crook, Trista","",""
"SUWS017443","Hlina, Paul","",""
"SUWS017444","Davidson, Donald W.","",""
"SUWS017445","Anderson, Derek S.","",""
"SUWS017447","Hlina, Matt","",""
"SUWS017450","Stauff, Janelle","",""
"SUWS017451","Hlina, Paul","",""
"SUWS017452","Bergman, Nils","",""
"SUWS017507","Senti, Peter","",""
"SUWS017540","Anderson, Derek S.","",""
"SUWS017541","Anderson, Derek S.","",""
"SUWS017543","Anderson, Derek S.","",""
"SUWS017546","Anderson, Derek S.","",""
"SUWS017548","Davidson, Donald W.","",""
"SUWS017550","Davidson, Donald W.","",""
"SUWS017551","Davidson, Donald W.","",""
"SUWS017552","Davidson, Donald W.","",""
"SUWS017554","Anderson, Derek S.","",""
"SUWS017543","Bergman, Nils","",""
"SUWS017431","Crook, Trista","",""
"SUWS017430","Crook, Trista","",""
"SUWS017450","Stauff, Janelle","",""
"SUWS017410","Anderson, Derek S.","",""
"SUWS017403","Crook, Trista","",""
"SUWS017451","Hlina, Paul","",""
"SUWS017416","Bergman, Nils","",""
"SUWS017552","Bergman, Nils","",""
"SUWS009540","Koch, Rudy G.","",""
"SUWS010000","Brashier"," Thoren",""
"SUWS010001","Granlund, Marvin","",""
"SUWS010004","Koch, Rudy G.","",""
"SUWS010005","Koch, Rudy G.","",""
"SUWS010006","Thomson, John W., Jr."," Fassett, Norman C.",""
"SUWS010007","Zirngibl, William","",""
"SUWS010009","Thomson, John W., Jr.","",""
"SUWS010010","Davidson, Donald W."," Heim, Mike"," Johnson, Robbye"
"SUWS010011","Zirngibl, William","",""
"SUWS010012","Davidson, Donald W."," Johnson, Robbye"," Heim, Michael"
"SUWS010013","Koch, Rudy G.","",""
"SUWS010014","Zarling, Ruth","",""
"SUWS010015","Richardson, Timothy","",""
"SUWS010018","Trick, Joel A."," Krawczyk, J.",""
"SUWS010019","Davidson, Donald W."," Zirngibl, William",""
"SUWS010020","Koch, Rudy G.","",""
"SUWS010023","Brashier"," Raatz",""
"SUWS010024","Zarling, Ruth","",""
"SUWS010025","Severson, Bob","",""
"SUWS010026","Mitchell, John A.","",""
"SUWS010027","Cherf"," Brashier",""
"SUWS010029","Watson, Dale","",""
"SUWS010030","Zarling, Ruth","",""
"SUWS010031","Cherf"," Brashier",""
"SUWS010032","Crass, Donna","",""
"SUWS010033","Brashier"," Parrish",""
"SUWS010036","Zirngibl, William","",""
"SUWS010037","Davidson, Donald W."," Heim, Mike"," Johnson, Robbye"
"SUWS010039","Pilt, Karen","",""
"SUWS010040","Davidson, Donald W."," Heim, Mike"," Johnson, Robbye"
"SUWS010042","Zirngibl, William","",""
"SUWS010043","Heim, Michael","",""
"SUWS010044","Heim, Michael","",""
"SUWS010045","Heim, Michael","",""
"SUWS010046","Heim, Michael","",""
"SUWS010048","Davidson, Donald W."," Zirngibl, William",""
"SUWS010049","Davidson, Donald W."," Zirngibl, William",""
"SUWS010050","Davidson, Donald W."," Johnson, Robbye"," Heim, Michael"
"SUWS010051","Brashier"," Smith",""
"SUWS010052","Mitchell, John A.","",""
"SUWS010053","Johnson, Kurt","",""
"SUWS010054","Brashier"," Walvoord",""
"SUWS010056","Mitchell, John A.","",""
"SUWS010057","","",""
"SUWS010059","Heim, Michael","",""
"SUWS010060","Zirngibl, William","",""
"SUWS010069","Koch, Rudy G.","",""
"SUWS010070","Zarling, Ruth","",""
"SUWS010072","Zirngibl, William","",""
"SUWS010073","Johnson, Robbye","",""
"SUWS010074","Askagard, Todd","",""
"SUWS010075","Johnson, Robbye","",""
"SUWS010076","Johnson, Robbye","",""
"SUWS010078","Thomson, John W., Jr."," Smith, C. W.",""
"SUWS010080","Davis, J. D.","",""
"SUWS010081","Stackler, Susan","",""
"SUWS010082","Clements, Jimmy D.","",""
"SUWS010083","Brimmer, K.","",""
"SUWS010084","Thomson, John W., Jr.","",""
"SUWS010086","Koch, Rudy G.","",""
"SUWS010088","Koch, Rudy G.","",""
"SUWS010089","Thomson, John W., Jr.","",""
"SUWS010090","Cherf"," Brashier",""
"SUWS010091","Brashier"," Cherf",""
"SUWS010092","Thomson, John W., Jr.","",""
"SUWS010093","Koch, Rudy G.","",""
"SUWS010094","Koch, Rudy G.","",""
"SUWS010095","Brashier"," Grage",""
"SUWS010097","Brashier","",""
"SUWS010098","Brashier"," Raatz",""
"SUWS010098b","Brashier"," Thoren",""
"SUWS010099","Koch, Rudy G.","",""
"SUWS010100","Koch, Rudy G.","",""
"SUWS010101","Koch, Rudy G.","",""
"SUWS010102","Koch, Rudy G.","",""
"SUWS010103","Thomson, John W., Jr.","",""
"SUWS010104","Koch, Rudy G.","",""
"SUWS010105","Koch, Rudy G.","",""
"SUWS010106","Koch, Rudy G.","",""
"SUWS010112","Koch, Rudy G.","",""
"SUWS010113","Parrish"," Brashier",""
"SUWS010114","Koch, Rudy G.","",""
"SUWS010115","Gitar"," Rounce",""
"SUWS010116","Koch, Rudy G.","",""
"SUWS010117","Brashier"," Valaskey",""
"SUWS010118","Thomson, John W., Jr.","",""
"SUWS010119","Koch, Rudy G.","",""
"SUWS010120","Koch, Rudy G.","",""
"SUWS010121","Koch, Rudy G.","",""
"SUWS010123","Thomson, John W., Jr.","",""
"SUWS010124","Thomson, John W., Jr.","",""
"SUWS010125","Thomson, Olive S.","",""
"SUWS010126","Michell, John","",""
"SUWS010127","Thomson, John W., Jr.","",""
"SUWS010129","Koch, Rudy G.","",""
"SUWS010130","Koch, Rudy G.","",""
"SUWS010131","Mitchell, John A.","",""
"SUWS010132","","",""
"SUWS010133","Thomson, John W., Jr.","",""
"SUWS010134","Stackler, Susan","",""
"SUWS010135","Peck, James H.","",""
"SUWS010136","","",""
"SUWS010138","Brashier"," Parrish",""
"SUWS010139","Sohmer, S. H.","",""
"SUWS010140","Parfitt, Bruce","",""
"SUWS010141","Koch, Rudy G.","",""
"SUWS010142","Thomson, John W., Jr.","",""
"SUWS010143","Thomson, John W., Jr.","",""
"SUWS010144","Thomson, John W., Jr.","",""
"SUWS010145","Koch, Rudy G.","",""
"SUWS010147","Thomson, John W., Jr.","",""
"SUWS010148","Koch, Rudy G.","",""
"SUWS010149","Peck, James H.","",""
"SUWS010150","Brashier"," Cherf",""
"SUWS010151","Koch, Rudy G.","",""
"SUWS010152","Koch, Rudy G.","",""
"SUWS010153","Collinson, Keith","",""
"SUWS010154","Koch, Rudy G.","",""
"SUWS010155","Koch, Rudy G.","",""
"SUWS010157","Thomson, John W., Jr.","",""
"SUWS010158","Koch, Rudy G.","",""
"SUWS010158b","Stackler, Susan","",""
"SUWS010159","Brashier"," Thoren",""
"SUWS010160","Koch, Rudy G.","",""
"SUWS010162","Koch, Rudy G.","",""
"SUWS010164","Brashier"," Janowski",""
"SUWS010165","Koch, Rudy G.","",""
"SUWS010166","Nelson, C. J.","",""
"SUWS010167","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010168","Davis, J. D.","",""
"SUWS010169","Thomson, John W., Jr."," Fassett, Norman C.",""
"SUWS010170","Thomson, John W., Jr.","",""
"SUWS010171","Koch, Rudy G.","",""
"SUWS010172","Thomson, John W., Jr.","",""
"SUWS010173","Thomson, John W., Jr.","",""
"SUWS010174","Koch, Rudy G.","",""
"SUWS010175","Koch, Rudy G.","",""
"SUWS010179","Koch, Rudy G.","",""
"SUWS010180","Smith, W. A.","",""
"SUWS010181","Charboneau, E.","",""
"SUWS010184","Koch, Rudy G.","",""
"SUWS010186","Chen, Jane Meau","",""
"SUWS010187","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010190","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010191","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010192","Lahti, Duane","",""
"SUWS010193","Thomson, John W., Jr.","",""
"SUWS010194","Iltis, Hugh H.","",""
"SUWS010195","Thomson, John W., Jr.","",""
"SUWS010196","Pellett, T. D."," Smith, W. A.",""
"SUWS010199","Thomson, John W., Jr."," Lund, F. E."," Carona, Michael"
"SUWS010200","Swanson, Denny","",""
"SUWS010201","Severson, S.","",""
"SUWS010202","Koch, Rudy G.","",""
"SUWS010204","Lahti, Duane","",""
"SUWS010205","Koch, Rudy G.","",""
"SUWS010207","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010208","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010210","Thomson, John W., Jr."," Fassett, Norman C.",""
"SUWS010211","Koch, Rudy G.","",""
"SUWS010213","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010214","Lahti, Duane","",""
"SUWS010215","Harriman, Neil A.","",""
"SUWS010216","Sohmer, S. H.","",""
"SUWS010217","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010218","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010219","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010220","Severson, S.","",""
"SUWS010221","Koch, Rudy G.","",""
"SUWS010222","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010223","Thomson, John W., Jr.","",""
"SUWS010224","Koch, Rudy G.","",""
"SUWS010225","Koch, Rudy G.","",""
"SUWS010226","Swanson, Steven D.","",""
"SUWS010227","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010228","Thomson, John W., Jr.","",""
"SUWS010230","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010231","Thomson, John W., Jr.","",""
"SUWS010232","Harriman, Neil A.","",""
"SUWS010233","Thomson, John W., Jr.","",""
"SUWS010317","Johnson, Richard R.","",""
"SUWS010318","Brashier"," Romans",""
"SUWS010319","Sohmer, S. H.","",""
"SUWS010320","Koch, Rudy G.","",""
"SUWS010321","Stackler, Susan","",""
"SUWS010322","Demaske, D.","",""
"SUWS010323","Thomson, John W., Jr.","",""
"SUWS010324","Thomson, John W., Jr.","",""
"SUWS010326","Brashier"," Valaskey",""
"SUWS010327","Swanson, Denny","",""
"SUWS010328","Koch, Rudy G.","",""
"SUWS010331","Koch, Rudy G.","",""
"SUWS010332","Koch, Rudy G.","",""
"SUWS010333","Koch, Rudy G.","",""
"SUWS010334","Brimmer, K.","",""
"SUWS010335","Christian, John R.","",""
"SUWS010336","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010337","La Liberte, Paul","",""
"SUWS010340","Anderson, Bruce P.","",""
"SUWS010341","Koch, Rudy G.","",""
"SUWS010342","Nontelle, Deon M.","",""
"SUWS010347","Thomson, John W., Jr.","",""
"SUWS010348","Sohmer, S. H.","",""
"SUWS010350","Nontelle, Deon M.","",""
"SUWS010351","Brashier"," Romans",""
"SUWS010355","Koch, Rudy G.","",""
"SUWS010356","Smith, W. A."," Pellett, T. D.",""
"SUWS010357","Koch, Rudy G.","",""
"SUWS010360","Sohmer, S. H.","",""
"SUWS010364","Thomson, John W., Jr."," Smith, C. W.",""
"SUWS010365","Koch, Rudy G.","",""
"SUWS010366","Koch, Rudy G.","",""
"SUWS010367","Koch, Rudy G.","",""
"SUWS010368","Koch, Rudy G.","",""
"SUWS010369","Sohmer, S. H.","",""
